drugName,Review,rating,Processed_Review,sentiment_score
Valsartan,It has no side effect I take it in combination of Bystolic Mg and Fish Oil,9,It side effect I take combination Bystolic Mg Fish Oil,0.9972574127838015
Guanfacine,My son is halfway through his fourth week of Intuniv We became concerned when he began this last week when he started taking the highest dose he will be on For two days he could hardly get out of bed was very cranky and slept for nearly hours on a drive home from school vacation very unusual for him I called his doctor on Monday morning and she said to stick it out a few days See how he did at school and with getting up in the morning The last two days have been problem free He is MUCH more agreeable than ever He is less emotional a good thing less cranky He is remembering all the things he should Overall his behavior is better We have tried many different medications and so far this is the most effective,8,My son halfway fourth week Intuniv We became concerned began last week started taking highest dose For two day could hardly get bed cranky slept nearly hour drive home school vacation unusual I called doctor Monday morning said stick day See school getting morning The last two day problem free He MUCH agreeable ever He le emotional good thing le cranky He remembering thing Overall behavior better We tried many different medication far effective,0.9112868875265121
Lybrel,I used to take another oral contraceptive which had pill cycle and was very happy very light periods max days no other side effects But it contained hormone gestodene which is not available in US so I switched to Lybrel because the ingredients are similar When my other pills ended I started Lybrel immediately on my first day of period as the instructions said And the period lasted for two weeks When taking the second pack same two weeks And now with third pack things got even worse my third period lasted for two weeks and now its the end of the third week I still have daily brown discharge The positive side is that I didnt have any other side effects The idea of being period free was so tempting Alas,5,I used take another oral contraceptive pill cycle happy light period max day side effect But contained hormone gestodene available US I switched Lybrel ingredient similar When pill ended I started Lybrel immediately first day period instruction said And period lasted two week When taking second pack two week And third pack thing got even worse third period lasted two week end third week I still daily brown discharge The positive side I didnt side effect The idea period free tempting Alas,0.7943095117807388
Ortho Evra,This is my first time using any form of birth control Im glad I went with the patch I have been on it for months At first It decreased my libido but that subsided The only downside is that it made my periods longer days to be exact I used to only have periods for days max also made my cramps intense for the first two days of my period I never had cramps before using birth control Other than that in happy with the patch,8,This first time using form birth control Im glad I went patch I month At first It decreased libido subsided The downside made period longer day exact I used period day max also made cramp intense first two day period I never cramp using birth control Other happy patch,0.8406813185662032
Buprenorphine / naloxone,Suboxone has completely turned my life around I feel healthier Im excelling at my job and I always have money in my pocket and my savings account I had none of those before Suboxone and spent years abusing oxycontin My paycheck was already spent by the time I got it and I started resorting to scheming and stealing to fund my addiction All that is history If youre ready to stop theres a good chance that suboxone will put you on the path of great life again I have found the sideeffects to be minimal compared to oxycontin Im actually sleeping better Slight constipation is about it for me It truly is amazing The cost pales in comparison to what I spent on oxycontin,9,Suboxone completely turned life around I feel healthier Im excelling job I always money pocket saving account I none Suboxone spent year abusing oxycontin My paycheck already spent time I got I started resorting scheming stealing fund addiction All history If youre ready stop there good chance suboxone put path great life I found sideeffects minimal compared oxycontin Im actually sleeping better Slight constipation It truly amazing The cost pale comparison I spent oxycontin,0.9067908355966211
Cialis,nd day on mg started to work with rock hard erections however experianced headache lower bowel preassure rd day erections would wake me up amp hurt Legankles aches severe lower bowel preassure like you need to go but cant Enjoyed the initial rockhard erections but not at these side effects or for months supply Im amp work out Xs a week Not worth side effects,2,nd day mg started work rock hard erection however experianced headache lower bowel preassure rd day erection would wake amp hurt Legankles ache severe lower bowel preassure like need go cant Enjoyed initial rockhard erection side effect month supply Im amp work Xs week Not worth side effect,0.25171531960368154
Levonorgestrel,He pulled out but he cummed a bit in me I took the Plan B hours later and took a pregnancy test two weeks later Im pregnant,1,He pulled cummed bit I took Plan B hour later took pregnancy test two week later Im pregnant,0.8153527155518532
Aripiprazole,Abilify changed my life There is hope I was on Zoloft and Clonidine when I first started Abilify at the age of Zoloft for depression and Clondine to manage my complete rage My moods were out of control I was depressed and hopeless one second and then mean irrational and full of rage the next My Dr prescribed me mg of Abilify and from that point on I feel like I have been cured though I know Im not Bipolar disorder is a constant battle I know Abilify works for me because I have tried to get off it and lost complete control over my emotions Went back on it and I was golden again I am on mg x daily I am now and better than I have ever been in the past Only side effect is I like to eat a lot,10,Abilify changed life There hope I Zoloft Clonidine I first started Abilify age Zoloft depression Clondine manage complete rage My mood control I depressed hopeless one second mean irrational full rage next My Dr prescribed mg Abilify point I feel like I cured though I know Im Bipolar disorder constant battle I know Abilify work I tried get lost complete control emotion Went back I golden I mg x daily I better I ever past Only side effect I like eat lot,1.0000000298023224
Keppra,I Ve had nothing but problems with the Keppera constant shaking in my arms amp legs amp pins amp needles feeling in my arms amp legs severe light headedness no appetite amp etc,1,I Ve nothing problem Keppera constant shaking arm amp leg amp pin amp needle feeling arm amp leg severe light headedness appetite amp etc,0.6439894050359726
Ethinyl estradiol / levonorgestrel,I had been on the pill for many years When my doctor changed my RX to chateal it was as effective It really did help me by completely clearing my acne this takes about months though I did not gain extra weight or develop any emotional health issues I stopped taking it bc I started using a more natural method of birth control but started to take it bc I hate that my acne came back at age I really hope symptoms like depression or weight gain do not begin to affect me as I am older now Im also naturally moody so this may worsen things I was in a negative mental rut today Also I hope this doesnt push me over the edge as I believe I am depressed Hopefully itll be just like when I was younger,8,I pill many year When doctor changed RX chateal effective It really help completely clearing acne take month though I gain extra weight develop emotional health issue I stopped taking bc I started using natural method birth control started take bc I hate acne came back age I really hope symptom like depression weight gain begin affect I older Im also naturally moody may worsen thing I negative mental rut today Also I hope doesnt push edge I believe I depressed Hopefully itll like I younger,0.9851653933525085
